REPORTED_WKLY_SPEND,REPORTED_WKLY_SPEND_USF,REPORTED_WKLY_SPEND_COMPETITOR_1,REPORTED_COP_SPEND,REPORTED_PRODUCE_SPEND,SMALL_QTY_RANK,DEL_FLEX_RANK,CUT_TIME_RANK,CUST_NBR,DIV_NBR,PYR_SEG_CD
7903.3325,7653.3325,0,400,1650,2,8,7,86222,37,Independent Restaurant
35517.80538,5517.805385,0,25200,700,2,8,3,145604,21,National Chain
7723.605,923.605,2800,3260,2413,2,4,6,133054,67,Independent Restaurant
217.006,37.006,0,2275,650,2,8,10,58717,27,Education
17688.21981,2688.219808,8000,10000,5100,2,3,5,115151,48,Independent Restaurant
3561.774808,2811.774808,0,2000,1200,2,5,10,70603,30,Independent Restaurant
1491.179615,293.1796154,0,1994.9,823.8,2,5,4,7943,49,Independent Restaurant
1906.790192,806.7901923,1100,0,0,2,10,9,12342,5,Retail
4725.734038,2975.734038,1500,1250,1875,2,7,8,133598,43,Hospitality
1073.636731,923.6367308,0,1000,500,2,6,9,91902,33,Independent Restaurant
6338.016731,2138.016731,0,100,1850,2,6,10,426,23,Independent Restaurant
6896.611154,2696.611154,4000,1200,2400,2,5,8,79692,52,Independent Restaurant
769.0475,749.0475,0,180,46,2,9,4,45092,6,Independent Restaurant
7826.110769,1286.110769,0,2220,1252,2,9,10,91583,30,Independent Restaurant
3619.612885,1419.612885,2200,0,150,2,8,7,94105,28,Independent Restaurant
1892.6925,1142.6925,600,1140,300,2,8,7,89398,33,Independent Restaurant
1283.106731,833.1067308,0,565,122.5,2,5,9,19606,36,Other
2767.008654,967.0086538,800,980,100,2,8,4,26024,58,Health Care
3392.356346,1692.356346,0,300,200,2,8,10,36171,49,Independent Restaurant
899.8830769,779.8830769,0,552,378,2,3,4,66320,48,Health Care
1359.3825,509.3825,0,467.5,459,2,9,7,116647,11,Independent Restaurant
1359.3825,509.3825,0,467.5,459,2,9,7,116647,11,Independent Restaurant
2627.889231,27.88923077,0,60,700,2,1,4,133129,35,Hospitality
731.6638462,571.6638462,0,507.5,40,2,5,7,31026,48,Government
3431.097692,631.0976923,0,1470,807,2,1,7,128911,2,Independent Restaurant
8217.397692,717.3976923,1500,6200,1350,2,8,6,5910,50,Independent Restaurant
4508.956731,108.9567308,500,97,125,2,7,8,69836,23,Independent Restaurant
1559.024808,159.0248077,0,740,500,2,1,7,142999,64,Retail
1466.716346,369.7163462,327,1028.55,122.95,2,10,3,143679,50,Independent Restaurant
1785.495385,385.4953846,0,850,392.5,2,9,3,48948,39,Independent Restaurant
1116.756731,366.7567308,0,150,562.5,2,8,5,89311,54,Independent Restaurant
476.1692308,326.1692308,0,140,40,2,1,9,8519,26,Hospitality
170.2442308,160.2442308,0,7.2,1.8,2,7,10,57847,54,Health Care
3390.846346,3355.846346,25,7.25,11,2,6,4,41660,58,Independent Restaurant
55566.26327,1566.263269,10000,0,0,2,4,7,28544,15,Other
